arm,request_contract,workload,cache_state,entities,source_sha256,closure_entities,source_bytes,pinned_source_bytes,pin_us,materialized_payload_bytes,repetition,repeated_materialize_us,first_exact_bounded_us,proof
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,1337,137,0,84,1462,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,880,137,1,86,981,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,2937,137,2,468,3169,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,1439,137,3,82,1545,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,435,137,4,76,520,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,1644,137,5,169,1883,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,983,137,6,107,1135,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,1079,137,7,170,1296,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,985,137,8,253,1194,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,527,137,9,114,706,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,722,137,10,81,877,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,2184,137,11,151,2425,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,522,137,12,78,706,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,851,137,13,77,940,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,454,137,14,72,533,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,499,137,15,91,628,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,696,137,16,72,786,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,435,137,17,71,513,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,423,137,18,71,497,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,394,137,19,69,465,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,387,137,20,292,457,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,472,137,21,80,566,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,410,137,22,75,490,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,402,137,23,74,555,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,410,137,24,74,487,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,390,137,25,83,533,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,940,137,26,85,1037,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,1301,137,27,289,1567,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,1385,137,28,355,2136,exact_source_payload_semantic_not_current
D-bounded,random_entity_lookup,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,1,217323,217323,718,137,29,80,820,exact_source_payload_semantic_not_current
D-bounded,near_dependency,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,2,217323,217323,1341,353,0,87,1444,requires_full_admission_for_formula
D-bounded,near_dependency,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,2,217323,217323,1161,353,1,89,1415,requires_full_admission_for_formula
D-bounded,near_dependency,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,2,217323,217323,1008,353,2,153,1115,requires_full_admission_for_formula
D-bounded,near_dependency,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,2,217323,217323,2514,353,3,91,2629,requires_full_admission_for_formula
D-bounded,near_dependency,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,2,217323,217323,1781,353,4,247,2053,requires_full_admission_for_formula
D-bounded,near_dependency,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,2,217323,217323,981,353,5,181,1281,requires_full_admission_for_formula
D-bounded,near_dependency,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,2,217323,217323,677,353,6,86,786,requires_full_admission_for_formula
D-bounded,near_dependency,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,2,217323,217323,466,353,7,83,561,requires_full_admission_for_formula
D-bounded,near_dependency,deep_dependency_chain,os_cache_warm,1000,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c,2,217323,217323,420,353,8,82,504,requires_full_admission_for_formula
