entities,request_contract,n,p50_first_exact_bounded_us,p95_first_exact_bounded_us,p99_first_exact_bounded_us,min_us,max_us,closure_entities,proof
1000,random_entity_lookup,30,509,563,566,506,566,1,exact_source_payload_semantic_not_current
1000,near_dependency,30,510,516,517,510,517,2,requires_full_admission_for_formula
1000,random_mid_dependency,30,2679,2930,3292,2575,3292,501,requires_full_admission_for_formula
1000,far_dependency,30,4919,5155,5175,4696,5175,1000,requires_full_admission_for_formula
1000,cold_reverse_dependents,30,4854,5511,10259,4672,10259,999,requires_full_admission
4000,random_entity_lookup,30,1270,1276,1446,1259,1446,1,exact_source_payload_semantic_not_current
4000,near_dependency,30,1264,1344,1548,1252,1548,2,requires_full_admission_for_formula
4000,random_mid_dependency,30,11120,13575,15175,10366,15175,2001,requires_full_admission_for_formula
4000,far_dependency,30,21790,41763,43183,20350,43183,4000,requires_full_admission_for_formula
4000,cold_reverse_dependents,30,21153,27545,38320,19993,38320,3999,requires_full_admission
16000,random_entity_lookup,30,4839,6720,8585,4457,8585,1,exact_source_payload_semantic_not_current
16000,near_dependency,30,4720,5790,6335,4509,6335,2,requires_full_admission_for_formula
16000,random_mid_dependency,30,49660,64662,80766,46663,80766,8001,requires_full_admission_for_formula
16000,far_dependency,30,86150,96994,102300,81689,102300,16000,requires_full_admission_for_formula
16000,cold_reverse_dependents,30,82937,85863,118533,81003,118533,15999,requires_full_admission
