arm,workload,cache_state,entities,source_sha256,source_bytes,sidecar_bytes,first_scan_us,first_sidecar_encode_us,repetition,source_revalidation_us,sidecar_decode_us,total_validated_reuse_us,full_a1_us
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,0,20959,11265,32224,15402
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,1,21456,11000,32456,15356
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,2,21212,11514,32727,15663
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,3,21523,11203,32726,16284
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,4,21351,11264,32616,15422
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,5,21280,11350,32631,15341
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,6,21031,11115,32147,15355
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,7,20246,10979,31226,16179
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,8,20248,11838,32086,15770
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,9,20710,11281,31992,15417
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,10,20613,11106,31719,15451
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,11,20735,11305,32041,16011
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,12,21541,11114,32655,15941
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,13,20954,11009,31963,15513
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,14,21551,11030,32582,15182
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,15,21262,11040,32302,15504
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,16,21171,11175,32346,15614
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,17,20743,11582,32325,15686
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,18,21151,11212,32364,15577
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,19,21168,11267,32436,15960
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,20,21479,11595,33074,15165
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,21,20959,11015,31974,15157
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,18753,3931,22,21008,11443,32451,16083
