experiment,workload,entities,fixture_seed,source_revision,source_sha256
adversarial_test,source_revision_change,257,175,A_to_B,unknown
bounded_materialization,deep_dependency_chain,1000,175,A,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c
bounded_materialization,deep_dependency_chain,16000,175,A,7c78218a41707f7e4e299ef06ef6f40d654c4e145ddd9aa613a187f110f66fe5
bounded_materialization,deep_dependency_chain,4000,175,A,6b0a7a2666fe04e84ceeb1176995eec3c8cb8a2be83c2b91cf1255df522b0f40
dirty_sidecar,mixed_smoke,1000,175,A,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6
dirty_sidecar,mixed_smoke,16000,175,A,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab
dirty_sidecar,mixed_smoke,4000,175,A,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5
git_sidecar,mixed_smoke,1000,175,A,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6
git_sidecar,mixed_smoke,16000,175,A,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab
git_sidecar,mixed_smoke,4000,175,A,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5
host_open,mixed_smoke_host,1000,175,A,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6
host_open,mixed_smoke_host,16000,175,A,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab
host_open,mixed_smoke_host,4000,175,A,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5
matrix,cross_shard_cycle,1000,175,A,6c4b2c88423d192857efc4a76942a69b11a2d24d3ea47c5efe3bb62dd67d844e
matrix,cross_shard_cycle,16000,175,A,32a039ef76955a274773ca5443d3b5ea02a81146228801654afde8a5adf8d512
matrix,cross_shard_cycle,4000,175,A,e44319c27dab14525f37a1212d5f9e1c8904efeec42a2405766de81ca8d6a130
matrix,deep_dependency_chain,1000,175,A,e7f306d6a087b66ee49003efecf058ed5cc1780acc3144e728cd2a399a784c4c
matrix,deep_dependency_chain,16000,175,A,7c78218a41707f7e4e299ef06ef6f40d654c4e145ddd9aa613a187f110f66fe5
matrix,deep_dependency_chain,4000,175,A,6b0a7a2666fe04e84ceeb1176995eec3c8cb8a2be83c2b91cf1255df522b0f40
matrix,formula_ast_heavy,1000,175,A,4ec3a8690f4f3a00bccc296b2b97b9183e735a388698a6cccf92c23e2c6b1b2a
matrix,formula_ast_heavy,16000,175,A,0a2fe13efbf26c5cc0cd1a0f099245fc27ed864faf01890f0c74425f87608f76
matrix,formula_ast_heavy,4000,175,A,9aca2a6b4c40c4deefd8e5a9465f95a0bbe2c85f512fe4f74bf5c389f82f15c8
matrix,formula_edge_heavy,1000,175,A,0de22a4e9e82fa4f415fe9c87d3829eaba044e0e5ccbc52574cb9c87f4e2c766
matrix,formula_edge_heavy,16000,175,A,6ca4c3216cb4633241269d5a6bd8666d6fcd81e3e50f4828c87618b73cc95054
matrix,formula_edge_heavy,4000,175,A,004e57326b70da9ed30cad50d0331dbcd340be025edaf6df60c748076713f881
matrix,mixed_realistic_game_data,1000,175,A,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5
matrix,mixed_realistic_game_data,16000,175,A,53383d7b644de472baf3fcca777c7242c5b683aa50900b10386dd46081027a40
matrix,mixed_realistic_game_data,4000,175,A,81dc3d7853085f4774bf46cc8dbaf5076a98180a59ffbbd143b7a957d5188740
matrix,mixed_realistic_game_data,64000,175,A,56a58280a537c8413a9add6a5c49fc33cf63afd27e69a8ad1f60106e3ee1df53
matrix,payload_unicode_long_record,1000,175,A,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd
matrix,payload_unicode_long_record,16000,175,A,9cdc1d1db9f219b3dcac3cb08df6a977104a9f8a204e6adc240371466f363a47
matrix,payload_unicode_long_record,4000,175,A,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422
matrix,payload_unicode_long_record,64000,175,A,902264b6e40d90d1f207e007267c278fab9c0d9436377fe7f65087f185ccb58b
matrix,reference_heavy,1000,175,A,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a
matrix,reference_heavy,16000,175,A,a97419c018bfb105b958224738fb7e326dd996547574f1e1e6ef5a9c3e640fd5
matrix,reference_heavy,4000,175,A,56a40de80994da33baf9b8d62625b4d4e779d7d91eea782cfee8b68cc2e3b658
matrix,reference_heavy,64000,175,A,f3e9bff1c995804f946ae5cda889d228ad77c6efba0142c1e4cbd45d3b1eb51e
matrix,wide_fan_in,1000,175,A,8891c4e66d6da68321654fbe4352663e5ea2b58f394a605cd8573297f83938f3
matrix,wide_fan_in,16000,175,A,1a4d484cf83b9bfccacdc39fab00edb7a469e4ffc0d8ba102c61b61e9f9f5669
matrix,wide_fan_in,4000,175,A,7296374ec6dd3895554e9bd854efb47f5242bdd5edb1ed752fe8aab78690962a
matrix,wide_fan_out,1000,175,A,7cb38d978031bd4760a27a0b367d108e9f9b2aa73ecf145a37a6ccec600e1784
matrix,wide_fan_out,16000,175,A,80767bd41707e8031f4b4abcbe80beef1279fdf32d71ae41cacfcd83a33ac51a
matrix,wide_fan_out,4000,175,A,50a7307f71f0aff43822690abf6c6375d531a6ebb7beecfc960681f1be5082f5
matrix,wide_field_presence,1000,175,A,b221ea4699d4c3ccd0cd739849c7ff3da72dedba8e61ba2b6a56b685e94d7889
matrix,wide_field_presence,16000,175,A,2b0063d62c5f0c761a8cd8417b3279a3ad70e55d4b36bf9153c99829c413aae3
matrix,wide_field_presence,4000,175,A,e59b4c319792ada4211188557a473cd68827487bcc342c7b0ff552f4c29ac74c
progressive_background,unknown,16000,175,A,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab
retained_rss,formula_per_entity,16000,175,A,unknown
storage_rss,mixed_smoke,16000,175,A,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab
