arm,workload,cache_state,entities,source_sha256,source_bytes,sidecar_bytes,first_scan_us,first_git_identity_us,first_source_revalidation_us,first_sidecar_encode_us,repetition,git_identity_us,source_revalidation_us,sidecar_decode_us,identity_only_untrusted_decode_us,total_validated_reuse_us,full_git_snapshot_a1_us,process_state,arm_order,setup_pid,a1_pid,reuse_pid,a1_process_wall_us,reuse_process_wall_us,sidecar_read_us,full_sidecar_open_us
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,0,31069,165676,12357,43426,209104,144930,fresh_exec_per_arm,a1_then_reuse,61494,61785,62073,148626,212945,221,209326
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,1,20319,115565,11013,31332,146899,149460,fresh_exec_per_arm,reuse_then_a1,61494,62651,62364,152794,150962,207,147106
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,2,24685,114535,11435,36120,150657,150858,fresh_exec_per_arm,a1_then_reuse,61494,62939,63227,154689,154435,195,150852
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,3,23790,128571,12241,36031,164604,157484,fresh_exec_per_arm,reuse_then_a1,61494,63801,63514,162603,170570,232,164837
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,4,19136,119036,11659,30795,149833,134505,fresh_exec_per_arm,a1_then_reuse,61494,64088,64375,137976,153929,190,150024
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,5,19718,119837,12149,31867,151705,136570,fresh_exec_per_arm,reuse_then_a1,61494,64949,64662,140045,156057,218,151925
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,6,20004,126698,12197,32201,158902,132701,fresh_exec_per_arm,a1_then_reuse,61494,65236,65523,136000,162761,199,159102
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,7,20274,118726,11284,31558,150286,207872,fresh_exec_per_arm,reuse_then_a1,61494,66099,65810,211257,154227,192,150478
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,8,19174,114332,11234,30408,144742,145269,fresh_exec_per_arm,a1_then_reuse,61494,66389,66676,148837,149006,182,144924
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,9,19048,112403,11209,30257,142665,130845,fresh_exec_per_arm,reuse_then_a1,61494,67251,66964,134126,146894,217,142883
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,10,19417,117490,11008,30425,147920,131096,fresh_exec_per_arm,a1_then_reuse,61494,67538,67825,134209,151756,192,148113
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,11,25002,123329,11308,36310,159641,138011,fresh_exec_per_arm,reuse_then_a1,61494,68399,68112,141388,163518,217,159859
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,12,19722,115486,10878,30600,146088,129696,fresh_exec_per_arm,a1_then_reuse,61494,68688,68975,132906,149877,182,146270
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,13,19798,124857,11226,31024,155883,132386,fresh_exec_per_arm,reuse_then_a1,61494,69550,69263,136109,160225,224,156108
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,14,21243,133064,11386,32629,165698,151900,fresh_exec_per_arm,a1_then_reuse,61494,69837,70124,155018,171910,197,165896
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,15,21178,138530,12360,33538,172070,153766,fresh_exec_per_arm,reuse_then_a1,61494,70698,70411,157306,176193,204,172275
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,16,22201,121760,12020,34221,155982,151211,fresh_exec_per_arm,a1_then_reuse,61494,70985,71272,154708,160035,240,156223
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,17,19688,117525,13846,33534,151063,140022,fresh_exec_per_arm,reuse_then_a1,61494,71846,71559,143492,155279,189,151253
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,18,20786,122785,11483,32269,155060,133140,fresh_exec_per_arm,a1_then_reuse,61494,72133,72422,136444,159194,214,155275
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,19,20089,121324,11273,31362,152688,135853,fresh_exec_per_arm,reuse_then_a1,61494,72996,72709,139753,156601,182,152871
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,20,22021,119267,11334,33355,152624,136323,fresh_exec_per_arm,a1_then_reuse,61494,73287,73577,140359,156969,214,152840
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,21,22078,130671,14035,36113,166787,135186,fresh_exec_per_arm,reuse_then_a1,61494,74161,73865,138731,171905,193,166981
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,22,19871,118491,11255,31126,149619,149982,fresh_exec_per_arm,a1_then_reuse,61494,74466,74758,153392,153582,184,149804
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,23,20090,122311,11350,31440,153753,134278,fresh_exec_per_arm,reuse_then_a1,61494,75338,75051,137491,157800,196,153949
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,24,23683,167857,29368,53051,220910,143963,fresh_exec_per_arm,a1_then_reuse,61494,75625,75913,148176,231242,230,221141
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,25,42737,131543,12077,54814,186359,138270,fresh_exec_per_arm,reuse_then_a1,61494,76489,76201,141891,193371,2319,188679
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,26,20419,120612,12448,32867,153480,147806,fresh_exec_per_arm,a1_then_reuse,61494,76777,77068,151568,157955,182,153662
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,27,19529,128242,11522,31051,159296,133517,fresh_exec_per_arm,reuse_then_a1,61494,77643,77356,137033,163760,204,159500
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,28,30198,133490,11321,41519,175011,155813,fresh_exec_per_arm,a1_then_reuse,61494,77930,78217,159291,180534,218,175229
E2-git-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1178828,25804,31166,138106,4634,29,19605,118784,61600,81205,199991,151619,fresh_exec_per_arm,reuse_then_a1,61494,78792,78504,160755,206693,197,200189
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,0,22257,224936,56991,79248,304187,197378,fresh_exec_per_arm,a1_then_reuse,79186,79473,79760,203312,313716,699,304887
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,1,22917,232659,52157,75074,307736,206137,fresh_exec_per_arm,reuse_then_a1,79186,80334,80047,212358,316742,675,308412
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,2,23250,197854,51312,74562,272418,212385,fresh_exec_per_arm,a1_then_reuse,79186,80622,80909,217937,282561,890,273309
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,3,21613,193766,48969,70582,264350,183276,fresh_exec_per_arm,reuse_then_a1,79186,81492,81200,188360,272609,708,265059
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,4,21032,266655,50988,72020,338677,187361,fresh_exec_per_arm,a1_then_reuse,79186,81781,82068,193440,348318,736,339414
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,5,21036,201426,49238,70274,271702,188005,fresh_exec_per_arm,reuse_then_a1,79186,82648,82358,193521,280968,728,272430
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,6,24248,242899,49028,73276,316178,202317,fresh_exec_per_arm,a1_then_reuse,79186,82935,83222,207825,324579,685,316863
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,7,22701,220828,224811,247512,468342,224541,fresh_exec_per_arm,reuse_then_a1,79186,83808,83509,230261,479172,671,469014
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,8,24592,197646,48174,72766,270415,182905,fresh_exec_per_arm,a1_then_reuse,79186,84095,84386,188365,279254,681,271097
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,9,21154,194551,50789,71943,266497,188033,fresh_exec_per_arm,reuse_then_a1,79186,84963,84676,193372,275158,710,267208
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,10,21451,185657,47524,68975,254634,189807,fresh_exec_per_arm,a1_then_reuse,79186,85250,85537,194816,264106,752,255386
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,11,20167,192838,52433,72600,265440,217077,fresh_exec_per_arm,reuse_then_a1,79186,86115,85824,222176,273740,663,266104
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,12,23547,307470,47278,70825,378297,203957,fresh_exec_per_arm,a1_then_reuse,79186,86402,86690,210459,387695,718,379016
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,13,22322,194598,50133,72455,267055,202393,fresh_exec_per_arm,reuse_then_a1,79186,87266,86979,208267,276432,707,267763
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,14,21069,209240,47216,68285,277528,196457,fresh_exec_per_arm,a1_then_reuse,79186,87555,87842,202407,286827,690,278218
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,15,23651,201023,50119,73770,274795,219072,fresh_exec_per_arm,reuse_then_a1,79186,88418,88130,224458,283138,688,275483
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,16,21284,385521,50434,71718,457242,395303,fresh_exec_per_arm,a1_then_reuse,79186,88706,88993,400645,466520,677,457920
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,17,23113,378228,50288,73401,451631,472091,fresh_exec_per_arm,reuse_then_a1,79186,89568,89280,483344,465546,717,452348
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,18,23424,200967,48390,71814,272783,402376,fresh_exec_per_arm,a1_then_reuse,79186,89857,90147,411803,282318,849,273633
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,19,20088,204393,52343,72431,276826,183412,fresh_exec_per_arm,reuse_then_a1,79186,90721,90434,189140,285606,919,277746
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,20,20264,197514,47400,67664,265180,189031,fresh_exec_per_arm,a1_then_reuse,79186,91008,91295,194039,274410,667,265847
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,21,22654,196898,47874,70528,267428,236045,fresh_exec_per_arm,reuse_then_a1,79186,91875,91582,243138,276544,702,268130
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,22,21077,212423,47618,68695,281121,309456,fresh_exec_per_arm,a1_then_reuse,79186,92163,92455,314906,289591,648,281769
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,23,20556,210139,49419,69975,280116,191106,fresh_exec_per_arm,reuse_then_a1,79186,93029,92742,196893,289106,741,280858
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,24,20161,236422,56264,76425,312848,196022,fresh_exec_per_arm,a1_then_reuse,79186,93316,93603,201736,321223,628,313477
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,25,23597,190826,49587,73184,264013,188634,fresh_exec_per_arm,reuse_then_a1,79186,94177,93890,197235,273727,709,264722
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,26,20066,213528,54911,74977,288507,188653,fresh_exec_per_arm,a1_then_reuse,79186,94464,94751,193907,298137,772,289280
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,27,21333,442478,50821,72154,514635,212917,fresh_exec_per_arm,reuse_then_a1,79186,95326,95038,219196,524253,732,515368
E2-git-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4708156,75498,21785,187290,16683,28,24997,200708,49636,74633,275345,199632,fresh_exec_per_arm,a1_then_reuse,79186,95615,95902,205576,283759,702,276047
