arm,workload,cache_state,entities,fields,source_sha256,source_bytes,physical_read_bytes,nesting_scan_bytes,json_parser_deserializer_bytes,canonical_render_bytes,entity_records,formula_ast_nodes,reference_edges,formula_dependency_edges,repetition,order,source_known_us,first_source_preview_us,semantic_current_us
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,0,A0-first,,,26956
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,0,A0-first,46,151,13636
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,1,A1-first,43,144,13936
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,1,A1-first,,,27542
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,2,A0-first,,,27122
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,2,A0-first,136,310,14374
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,3,A1-first,51,156,13563
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,3,A1-first,,,27271
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,4,A0-first,,,26970
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,4,A0-first,44,146,14012
