arm,workload,cache_state,entities,fields,source_sha256,source_bytes,nesting_scan_bytes,json_parser_deserializer_bytes,canonical_render_bytes,entity_records,formula_ast_nodes,reference_edges,formula_dependency_edges,serialized_spine_bytes,repetition,source_known_us,first_preview_us,semantic_or_scan_current_us
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,0,,,83861
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,0,77,223,43904
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,0,,,47872
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,0,,,48105
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,1,54,187,43360
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,1,,,48147
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,1,,,48524
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,1,,,83521
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,2,,,49098
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,2,,,48306
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,2,,,83946
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,2,71,220,43695
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,3,,,47745
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,3,,,83088
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,3,113,291,43761
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,3,,,48274
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,4,,,85193
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,4,81,245,43705
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,4,,,48579
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,4,,,47875
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,5,102,315,43735
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,5,,,48589
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,5,,,48593
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,5,,,83369
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,6,,,48195
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,6,,,49185
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,6,,,84699
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,6,85,260,43603
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,7,,,48378
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,7,,,82823
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,7,114,283,43605
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,7,,,47967
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,8,,,82589
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,8,82,226,43660
