workload,entities,arm,n,p50_us,p95_us,p99_us,min_us,max_us,serialized_spine_bytes,spine_source_ratio_ppm
cross_shard_cycle,1000,A0,20,11794,14781,15845,10305,15845,,
cross_shard_cycle,1000,A1,20,5782,7476,9529,5136,9529,,
cross_shard_cycle,1000,C-directory,20,7284,8624,11595,6413,11595,239461,1101492
cross_shard_cycle,1000,C-structural,20,7707,10646,11113,6950,11113,582568,2679743
deep_dependency_chain,1000,A0,20,10157,11280,11592,9458,11592,,
deep_dependency_chain,1000,A1,20,5523,6260,6828,5119,6828,,
deep_dependency_chain,1000,C-directory,20,6385,7159,12173,5959,12173,239466,1101890
deep_dependency_chain,1000,C-structural,20,7175,9985,10075,6843,10075,582310,2679468
formula_ast_heavy,1000,A0,20,420540,485622,529392,411988,529392,,
formula_ast_heavy,1000,A1,20,213140,296833,372317,210115,372317,,
formula_ast_heavy,1000,C-directory,20,232953,274401,301034,228971,301034,248129,30707
formula_ast_heavy,1000,C-structural,20,231571,264678,294651,229022,294651,498237,61659
formula_edge_heavy,1000,A0,20,82699,84740,85091,80884,85091,,
formula_edge_heavy,1000,A1,20,41310,42661,43319,40892,43319,,
formula_edge_heavy,1000,C-directory,20,48915,49594,72710,48318,72710,247493,121763
formula_edge_heavy,1000,C-structural,20,56565,57496,57594,55160,57594,2398600,1180081
mixed_realistic_game_data,1000,A0,20,29505,30687,31246,28589,31246,,
mixed_realistic_game_data,1000,A1,20,15372,16058,16074,14930,16074,,
mixed_realistic_game_data,1000,C-directory,20,19453,20579,20828,18660,20828,236332,317042
mixed_realistic_game_data,1000,C-structural,20,20343,23605,26006,19629,26006,1026438,1376976
payload_unicode_long_record,1000,A0,20,83889,85193,86463,82589,86463,,
payload_unicode_long_record,1000,A1,20,43707,44064,44073,43256,44073,,
payload_unicode_long_record,1000,C-directory,20,48274,50321,52065,47608,52065,247900,52152
payload_unicode_long_record,1000,C-structural,20,48378,49260,50396,47745,50396,330009,69426
reference_heavy,1000,A0,20,48791,50377,50648,47759,50648,,
reference_heavy,1000,A1,20,24219,24837,24942,23437,24942,,
reference_heavy,1000,C-directory,20,34495,35105,35517,34012,35517,255148,191297
reference_heavy,1000,C-structural,20,34451,35568,36745,33995,36745,3759256,2818502
wide_fan_in,1000,A0,20,308877,340076,348426,301913,348426,,
wide_fan_in,1000,A1,20,151218,172005,183842,149139,183842,,
wide_fan_in,1000,C-directory,20,182253,196861,199076,178840,199076,248129,32239
wide_fan_in,1000,C-structural,20,215174,245168,295893,212098,295893,7871236,1022694
wide_fan_out,1000,A0,20,12821,14012,18371,11979,18371,,
wide_fan_out,1000,A1,20,6674,7218,7850,6169,7850,,
wide_fan_out,1000,C-directory,20,7978,8585,9498,7672,9498,245679,935724
wide_fan_out,1000,C-structural,20,8488,9635,9669,8131,9669,608864,2318996
wide_field_presence,1000,A0,20,156784,171328,178468,154901,178468,,
wide_field_presence,1000,A1,20,78118,80430,80815,76203,80815,,
wide_field_presence,1000,C-directory,20,107403,115933,123792,105283,123792,243269,79801
wide_field_presence,1000,C-structural,20,107771,109864,110662,106157,110662,5470378,1794471
cross_shard_cycle,4000,A0,20,45906,50259,63259,43935,63259,,
cross_shard_cycle,4000,A1,20,22128,22932,23448,21273,23448,,
cross_shard_cycle,4000,C-directory,20,25805,26955,28302,25301,28302,959461,1104864
cross_shard_cycle,4000,C-structural,20,28713,30387,30488,28233,30488,2331568,2684910
deep_dependency_chain,4000,A0,20,44395,47214,47363,43526,47363,,
deep_dependency_chain,4000,A1,20,21952,23170,23515,21438,23515,,
deep_dependency_chain,4000,C-directory,20,25767,27036,27719,24969,27719,959466,1104964
deep_dependency_chain,4000,C-structural,20,29178,30321,33532,27907,33532,2331310,2684842
formula_ast_heavy,4000,A0,20,1718373,1799831,2020120,1690711,2020120,,
formula_ast_heavy,4000,A1,20,855767,908216,943697,834788,943697,,
formula_ast_heavy,4000,C-directory,20,924976,1109409,1115472,905037,1115472,994145,30759
formula_ast_heavy,4000,C-structural,20,930458,1062162,1146951,905410,1146951,1994253,61702
formula_edge_heavy,4000,A0,20,349894,378377,418991,344123,418991,,
formula_edge_heavy,4000,A1,20,170356,172167,174937,168708,174937,,
formula_edge_heavy,4000,C-directory,20,200569,209843,219066,196997,219066,991489,121976
formula_edge_heavy,4000,C-structural,20,232340,248425,259257,229937,259257,9595596,1180477
mixed_realistic_game_data,4000,A0,20,126693,133899,160988,122742,160988,,
mixed_realistic_game_data,4000,A1,20,63705,72928,81739,61232,81739,,
mixed_realistic_game_data,4000,C-directory,20,80117,81192,83332,78267,83332,946172,317302
mixed_realistic_game_data,4000,C-structural,20,83973,134640,161415,81507,161415,4106278,1377054
payload_unicode_long_record,4000,A0,20,343975,394261,404260,337864,404260,,
payload_unicode_long_record,4000,A1,20,178573,195544,198313,176149,198313,,
payload_unicode_long_record,4000,C-directory,20,195937,204555,241910,192867,241910,992524,52204
payload_unicode_long_record,4000,C-structural,20,195261,214131,258593,192739,258593,1320633,69462
reference_heavy,4000,A0,20,208975,219758,236701,204350,236701,,
reference_heavy,4000,A1,20,100095,124794,153456,98576,153456,,
reference_heavy,4000,C-directory,20,143815,159028,159431,141682,159431,1016926,191016
reference_heavy,4000,C-structural,20,144256,217600,397051,141792,397051,15033034,2823753
wide_fan_in,4000,A0,20,1267499,1329723,1388628,1246465,1388628,,
wide_fan_in,4000,A1,20,616780,632314,658742,612548,658742,,
wide_fan_in,4000,C-directory,20,736777,752211,769626,729475,769626,994049,32290
wide_fan_in,4000,C-structural,20,881822,911884,1033277,873655,1033277,31486156,1022790
wide_fan_out,4000,A0,20,53693,59084,59971,51288,59971,,
wide_fan_out,4000,A1,20,26608,28307,28719,25528,28719,,
wide_fan_out,4000,C-directory,20,32400,33248,33403,31637,33403,983679,938128
wide_fan_out,4000,C-structural,20,34297,35236,35842,33713,35842,2435864,2323067
wide_field_presence,4000,A0,20,635246,669628,695192,624216,695192,,
wide_field_presence,4000,A1,20,311854,318143,332436,308745,332436,,
wide_field_presence,4000,C-directory,20,437056,445484,451972,427348,451972,960269,78498
wide_field_presence,4000,C-structural,20,436721,442163,446842,432122,446842,21868378,1787660
cross_shard_cycle,16000,A0,20,199200,205442,206718,193109,206718,,
cross_shard_cycle,16000,A1,20,94245,95323,95628,92533,95628,,
cross_shard_cycle,16000,C-directory,20,109752,112698,115541,107417,115541,3848085,1108193
cross_shard_cycle,16000,C-structural,20,123618,127733,128461,120871,128461,9336192,2688688
deep_dependency_chain,16000,A0,20,208443,228116,265202,197761,265202,,
deep_dependency_chain,16000,A1,20,94643,98511,108861,92013,108861,,
deep_dependency_chain,16000,C-directory,20,108277,110696,120030,106596,120030,3848089,1108217
deep_dependency_chain,16000,C-structural,20,123172,125797,130018,120355,130018,9335933,2688671
formula_ast_heavy,16000,A0,20,6969325,7238640,7302482,6807190,7302482,,
formula_ast_heavy,16000,A1,20,3478019,3570796,3787299,3412973,3787299,,
formula_ast_heavy,16000,C-directory,20,3703145,3999644,4019299,3648867,4019299,3982145,30802
formula_ast_heavy,16000,C-structural,20,3743786,4074948,4085271,3670014,4085271,7982253,61744
formula_edge_heavy,16000,A0,20,1464733,1713356,1747278,1428915,1747278,,
formula_edge_heavy,16000,A1,20,726014,1109866,1322100,698324,1322100,,
formula_edge_heavy,16000,C-directory,20,848986,985846,1016499,822484,1016499,3975601,122279
formula_edge_heavy,16000,C-structural,20,983073,1104410,1592892,953097,1592892,38391708,1180827
mixed_realistic_game_data,16000,A0,20,550488,618713,622544,536194,622544,,
mixed_realistic_game_data,16000,A1,20,273530,382726,395662,264616,395662,,
mixed_realistic_game_data,16000,C-directory,20,339993,350891,351202,325211,351202,3790172,317596
mixed_realistic_game_data,16000,C-structural,20,362708,395160,480371,342333,480371,16430278,1376770
payload_unicode_long_record,16000,A0,20,1420885,1649543,1798435,1400925,1798435,,
payload_unicode_long_record,16000,A1,20,722797,834946,855067,713535,855067,,
payload_unicode_long_record,16000,C-directory,20,784479,819823,821325,780773,821325,3980524,52342
payload_unicode_long_record,16000,C-structural,20,795877,822874,828731,778793,828731,5292633,69596
reference_heavy,16000,A0,20,879176,992492,1009016,844224,1009016,,
reference_heavy,16000,A1,20,413317,471778,533550,402135,533550,,
reference_heavy,16000,C-directory,20,607844,800037,820361,594555,820361,4068894,191173
reference_heavy,16000,C-structural,20,613268,646499,752872,591047,752872,60133002,2825297
wide_fan_in,16000,A0,20,5144345,5313040,6312713,5087296,6312713,,
wide_fan_in,16000,A1,20,2514688,2652312,2830686,2448943,2830686,,
wide_fan_in,16000,C-directory,20,2966871,3092502,3174316,2930201,3174316,3982049,32338
wide_fan_in,16000,C-structural,20,3633327,3795578,4144458,3559324,4144458,125950156,1022849
wide_fan_out,16000,A0,20,239458,246680,259911,232328,259911,,
wide_fan_out,16000,A1,20,114427,116885,117173,110024,117173,,
wide_fan_out,16000,C-directory,20,135412,139926,142859,131558,142859,3945567,941089
wide_fan_out,16000,C-structural,20,145478,153916,177737,140453,177737,9753752,2326446
wide_field_presence,16000,A0,20,2566306,2767413,2952174,2519016,2952174,,
wide_field_presence,16000,A1,20,1250648,1299035,1341082,1236386,1341082,,
wide_field_presence,16000,C-directory,20,1831109,2069088,2374228,1806308,2374228,3839021,78193
wide_field_presence,16000,C-structural,20,1820052,1926980,2229740,1808568,2229740,87471130,1781600
mixed_realistic_game_data,64000,A0,20,2330543,2732378,3128636,2236400,3128636,,
mixed_realistic_game_data,64000,A1,20,1123740,1413735,1522830,1074011,1522830,,
mixed_realistic_game_data,64000,C-directory,20,1432370,1643342,1663680,1390309,1663680,15208716,318401
mixed_realistic_game_data,64000,C-structural,20,1522320,2014416,2107905,1464774,2107905,65768822,1376898
payload_unicode_long_record,64000,A0,20,5932167,6407289,7019302,5703614,7019302,,
payload_unicode_long_record,64000,A1,20,2949638,3572216,4169204,2879598,4169204,,
payload_unicode_long_record,64000,C-directory,20,3196634,3341698,3421089,3140364,3421089,15962860,52476
payload_unicode_long_record,64000,C-structural,20,3194204,3339592,3339966,3125234,3339966,21210969,69729
reference_heavy,64000,A0,20,3556596,4154709,4269372,3482396,4269372,,
reference_heavy,64000,A1,20,1714418,1986648,2021851,1629840,2021851,,
reference_heavy,64000,C-directory,20,2587831,3034772,3057672,2519430,3057672,16308894,191590
reference_heavy,64000,C-structural,20,2586361,2806026,2935629,2520601,2935629,240565002,2826061
