arm,foreground_contract,cache_state,entities,source_sha256,repetition,arm_order,foreground_samples,operations_per_sample,baseline_p50_us,baseline_p95_us,baseline_p99_us,baseline_min_us,baseline_max_us,background_p50_us,background_p95_us,background_p99_us,background_min_us,background_max_us,foreground_p95_ratio_ppm,baseline_elapsed_us,background_foreground_elapsed_us,background_semantic_current_us,background_join_wall_us,cancelled_after_records,cancellation_outcome,cancellation_latency_us
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,0,baseline_then_background,200,256,59,132,181,33,185,42,62,141,22,156,468133,15141,10260,323244,325041,64,cancelled,1212
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,1,background_then_baseline,200,256,41,59,61,23,65,63,309,2590,44,45197,5224040,9668,84208,395833,395928,64,cancelled,56
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,2,baseline_then_background,200,256,30,48,51,20,52,24,30,32,18,34,626202,7887,6148,229011,229072,67,cancelled,80
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,3,background_then_baseline,200,256,52,72,95,30,137,40,62,70,23,113,867044,13132,10198,256794,256852,64,cancelled,160
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,4,baseline_then_background,200,256,52,89,152,25,208,27,47,51,19,98,527005,12532,7018,325787,325848,64,cancelled,64
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,5,background_then_baseline,200,256,38,63,67,23,68,42,59,91,22,112,933261,10381,10383,312153,312214,64,cancelled,58
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,6,baseline_then_background,200,256,33,61,71,20,75,27,42,53,19,61,691683,8953,8680,263053,263136,64,cancelled,62
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,7,background_then_baseline,200,256,41,63,89,27,176,37,57,60,21,65,894187,10229,9332,251494,251563,65,cancelled,122
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,8,baseline_then_background,200,256,34,56,113,23,153,28,42,49,18,82,750376,9308,7782,234946,235020,64,cancelled,54
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9,background_then_baseline,200,256,40,58,65,23,75,35,64,73,23,101,1102654,9811,9514,227073,227137,64,cancelled,66
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,10,baseline_then_background,200,256,33,64,73,19,81,30,44,46,17,62,691155,8695,7437,225320,225398,64,cancelled,57
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,11,background_then_baseline,200,256,34,68,71,21,76,43,59,69,22,89,870499,9710,10011,235178,235241,64,cancelled,68
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,12,baseline_then_background,200,256,39,61,66,20,69,25,32,36,18,67,529292,9811,6357,232667,232745,64,cancelled,55
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,13,background_then_baseline,200,256,32,62,71,19,198,39,62,70,21,77,1000000,9189,9729,226333,226437,64,cancelled,56
B-progressive,resident_exact_id_field_navigation,not_source_io,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,14,baseline_then_background,200,256,27,53,57,18,60,31,45,50,18,61,839378,7296,7463,226468,226546,64,cancelled,64
