metric,n,p50,p95,p99,min,max,unit
baseline_request_p95,20,55,63,66,31,66,us
background_request_p95,20,48,65,67,30,67,us
foreground_p95_ratio,20,993913,1400992,1450696,543100,1450696,ppm
foreground_p95_ratio_baseline_then_background,10,1030574,1450696,1450696,543100,1450696,ppm
foreground_p95_ratio_background_then_baseline,10,991379,1174164,1174164,937923,1174164,ppm
background_semantic_current,20,221238,229884,230623,219550,230623,us
background_join_wall,20,221307,229968,230698,219612,230698,us
background_started_after_records,20,64,64,64,64,64,records
cancelled_after_records,20,64,65,65,64,65,records
cancellation_latency,20,63,75,78,55,78,us
