probe,arm,entities,n,p50_steady_rss_bytes,p95_steady_rss_bytes,p50_peak_rss_bytes,p95_peak_rss_bytes,max_peak_rss_bytes
storage,baseline,16000,5,1900544,1900544,1982464,2080768,2080768
storage,A0,16000,5,59670528,62488576,66748416,68042752,68042752
storage,A1,16000,5,30408704,30736384,30425088,30752768,30752768
storage,directory,16000,5,47284224,48300032,48873472,50528256,50528256
storage,structural,16000,5,66813952,71958528,71778304,76087296,76087296
storage,structural_pinned_source,16000,5,76480512,79593472,76480512,79593472,79593472
storage,structural_pinned_hot_payload,16000,5,75022336,77709312,75038720,77709312,77709312
storage,structural_plus_document,16000,5,79052800,83542016,79364096,83591168,83591168
storage,structural_pinned_plus_document,16000,5,90636288,93618176,91226112,93634560,93634560
retained,baseline,16000,5,1753088,1753088,1802240,1818624,1818624
retained,document,16000,5,26066944,26083328,26099712,26116096,26116096
retained,resident_document_and_derived,16000,5,93863936,98713600,93880320,98729984,98729984
