trust_case,entities,metric,n,p50_us,p95_us,p99_us,min_us,max_us,source_bytes,sidecar_bytes
E1,1000,source_revalidation,30,21031,21937,23173,20246,23173,601429,1176922
E1,1000,decode,30,11265,11835,11838,10979,11838,601429,1176922
E1,1000,total_validated_reuse,30,32325,33772,34748,31226,34748,601429,1176922
E1,1000,full_a1,30,15577,16284,16672,15021,16672,601429,1176922
E1,4000,source_revalidation,30,89799,96215,131926,85489,131926,2405929,4706250
E1,4000,decode,30,50284,55413,59324,47597,59324,2405929,4706250
E1,4000,total_validated_reuse,30,141347,155239,185504,134523,185504,2405929,4706250
E1,4000,full_a1,30,66348,71366,222430,62624,222430,2405929,4706250
E1,16000,source_revalidation,30,419296,1197679,2081016,369679,2081016,9629930,18830250
E1,16000,decode,30,229421,817944,1711259,197118,1711259,9629930,18830250
E1,16000,total_validated_reuse,30,655003,2015623,3792276,567890,3792276,9629930,18830250
E1,16000,full_a1,30,317765,1276522,1368545,270439,1368545,9629930,18830250
E2,1000,git_identity,30,21421,68872,95291,15320,95291,601429,1178805
E2,1000,source_revalidation,30,154532,348877,358392,118529,358392,601429,1178805
E2,1000,decode,30,12930,26994,36299,11480,36299,601429,1178805
E2,1000,identity_only_untrusted_decode,30,34514,94065,131590,27171,131590,601429,1178805
E2,1000,total_validated_reuse,30,191456,412500,489983,146215,489983,601429,1178805
E2,1000,full_a1,30,18204,56299,58483,15202,58483,601429,1178805
E2,4000,git_identity,30,17622,35255,39262,15935,39262,2405929,4708133
E2,4000,source_revalidation,30,208333,271497,279827,184850,279827,2405929,4708133
E2,4000,decode,30,51257,80519,122473,47229,122473,2405929,4708133
E2,4000,identity_only_untrusted_decode,30,68958,105051,161736,63164,161736,2405929,4708133
E2,4000,total_validated_reuse,30,281849,354854,357418,250716,357418,2405929,4708133
E2,4000,full_a1,30,70127,115125,221908,64648,221908,2405929,4708133
E2,16000,git_identity,30,16814,27837,28119,15420,28119,9629930,18832133
E2,16000,source_revalidation,30,489624,619511,786184,456809,786184,9629930,18832133
E2,16000,decode,30,208111,232838,267198,201166,267198,9629930,18832133
E2,16000,identity_only_untrusted_decode,30,224881,256831,284578,216732,284578,9629930,18832133
E2,16000,total_validated_reuse,30,719390,845968,1018172,674120,1018172,9629930,18832133
E2,16000,full_a1,30,274338,312963,313193,257456,313193,9629930,18832133
